0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0.27259114,0.10443082,0.28862473,0.18947624,0.012285417,0.13131973,0.00059303414,0.00067889557,0.99955124,2.5862912e-08,4.9669965e-05,2.3674429e-05,6.58353e-10,0.0003752865,1.5093495e-09,2.0614985e-09,0.99999213,2.1471145e-09,7.724823e-06,1.7766457e-07,1.4091303e-09,1.027358e-08,4.6991098e-14,6.884575e-14,0.99997103,6.0163048e-15,2.9024732e-05,5.7097224e-14,1.1836338e-13,9.880694e-14,1.121162e-16,4.6675337e-17,0.9999999,4.9312884e-22,1.0083854e-07,7.051929e-21,2.5660902e-21,2.8082474e-18,3.3801577e-22,1.814354e-23,0
0.7318529,0.00233757,0.006231992,0.25943702,5.1675674e-05,8.883722e-05,1.2151482e-08,3.619703e-08,0.9999094,5.3315767e-13,7.683705e-05,1.371959e-05,4.3811135e-16,4.3847828e-09,3.24529e-12,9.411478e-13,0.9999999,1.0491309e-15,1.1916624e-09,1.3525035e-07,1.533924e-16,1.0152107e-12,3.2160871e-18,9.106339e-19,0.99999976,3.667934e-12,2.2194435e-07,7.133672e-08,8.927407e-09,9.737949e-09,3.508705e-11,5.681441e-12,1.0,1.1052018e-17,7.569801e-10,5.0808975e-12,2.8303276e-14,4.5335756e-11,8.936867e-16,4.2114584e-15,0
0.1294948,0.15526304,0.66062427,0.032874264,0.007539725,0.014160422,2.0853564e-05,2.2673057e-05,0.73737097,0.0001372455,0.14286514,0.005156432,6.070047e-07,0.11446764,8.347008e-07,1.1010657e-06,0.9997744,3.793841e-08,0.00020974873,1.387093e-05,1.5673074e-08,2.028442e-06,2.1114744e-11,8.673216e-11,0.039252385,3.701261e-06,0.96073526,4.9622854e-06,3.0268882e-06,6.492357e-07,1.620075e-09,1.6168875e-11,0.41587314,7.100968e-08,0.58412683,1.6633429e-08,7.2804835e-12,3.7668504e-11,1.1544097e-12,3.1897935e-12,0
0.6590632,0.006228146,0.08244063,0.24214363,0.00044612904,0.009661183,3.8504213e-06,1.32188015e-05,0.9984627,3.587473e-10,0.0015011909,2.7580375e-06,8.180681e-14,3.3466706e-05,5.6335782e-12,7.313511e-12,0.99999976,2.5172012e-10,1.3100102e-07,3.5875487e-08,9.311256e-11,1.3755327e-07,4.103179e-15,1.3949663e-15,0.99998784,8.126462e-09,1.13068145e-05,8.359992e-07,2.434624e-08,6.676541e-09,4.0815524e-09,9.634659e-11,0.99999654,1.0438714e-12,3.3812441e-06,7.4381525e-08,1.5773973e-12,1.3060029e-09,5.1331786e-12,1.6927619e-12,0
0.068912365,0.37477243,0.08989572,0.007481832,0.42052674,0.03701544,0.0012137584,0.00018168849,0.99756926,1.0874369e-09,8.488258e-05,2.0471853e-06,7.499477e-08,0.0023436665,4.7962057e-08,1.8527868e-09,0.99999976,1.2640573e-12,2.813977e-08,2.5440127e-07,2.8721112e-12,7.722546e-10,1.3167497e-13,2.1874427e-16,1.0,9.0396045e-13,9.103442e-11,4.0725357e-16,6.447444e-11,7.85015e-13,4.4905927e-13,6.2410806e-16,1.0,1.3692827e-19,1.1233125e-18,1.6751703e-30,1.8003264e-13,1.3709061e-22,7.114291e-21,4.24395e-25,0
0.54393244,0.038822256,0.10428798,0.16272071,0.004658441,0.14541039,8.543232e-05,8.228178e-05,0.9999989,3.5225788e-13,3.8836518e-08,7.996645e-08,8.6146165e-15,9.463961e-07,8.075361e-13,1.4829246e-13,1.0,2.078621e-15,6.173847e-11,2.4505769e-09,2.5207685e-16,9.946466e-13,7.564469e-19,2.105012e-20,0.99999964,9.1593435e-08,1.9303776e-07,2.4095193e-10,8.209486e-09,3.2435024e-09,4.3714532e-11,5.894689e-14,1.0,8.3198753e-10,5.4900525e-08,3.617566e-14,2.1198674e-09,1.966743e-10,3.4719627e-12,6.7059044e-15,0
0.99698275,0.00029094607,0.00016022396,0.0023581875,0.0001549101,5.3032836e-05,1.7090953e-08,9.698186e-09,0.9998969,3.704322e-10,3.861964e-06,9.3919516e-05,3.6394776e-10,5.318133e-06,4.556353e-09,2.8987956e-10,0.9999027,1.7463017e-07,4.8200614e-05,3.9857787e-05,5.795611e-06,3.204174e-06,7.632061e-08,7.094077e-09,1.0,2.5373367e-21,4.0471234e-15,1.7761762e-15,6.742241e-14,2.1736839e-17,5.2504442e-17,4.8510435e-21,1.0,1.0684896e-30,2.253442e-21,5.601084e-25,8.429906e-24,6.268829e-24,5.2106653e-22,3.0585185e-24,0
0.8711961,0.0005651704,0.0024674071,0.12574108,1.1548468e-05,1.8709154e-05,8.0996443e-10,2.6224585e-09,1.0,7.41177e-18,6.730358e-10,1.5827998e-09,9.009656e-20,1.2769429e-11,1.745506e-16,2.7137721e-17,0.99999976,2.3700467e-10,2.1943812e-07,9.774179e-09,5.7947086e-10,3.9746673e-09,1.1896244e-14,1.0691381e-14,0.99999905,1.6754726e-11,9.4239465e-07,1.72292e-08,1.629759e-09,8.8640865e-11,2.2315223e-11,7.9416656e-12,0.99999976,2.1400724e-14,2.6003812e-07,3.1966627e-11,9.819561e-14,6.356586e-14,7.2671924e-14,1.2985261e-12,0
0.34476468,0.074868664,0.43840823,0.09814729,0.0048645334,0.038791507,5.9023812e-05,9.618888e-05,0.96879286,9.5219434e-07,0.01934792,0.0011554487,1.26724e-10,0.01070286,5.8630795e-10,1.300518e-09,0.99999774,2.1804737e-12,9.614141e-07,1.2616332e-06,4.0742732e-13,1.3053401e-08,3.0640256e-15,4.434468e-16,0.9998709,2.3226326e-08,0.00011823487,3.7242975e-09,9.963336e-09,1.07769065e-05,1.7720071e-09,2.4797056e-13,0.9999999,2.5351054e-14,6.220261e-08,1.4214701e-12,5.3759572e-14,1.357083e-08,1.157153e-13,3.0079076e-17,0
0.6899001,0.003917867,0.007951795,0.29796836,0.000112612615,0.000149103,4.6431285e-08,1.2195902e-07,0.7944461,1.0572005e-07,0.0017796274,0.20343338,9.751832e-10,0.00033998798,2.289543e-07,5.6250207e-07,0.9999993,2.2495942e-12,1.7991704e-07,5.320724e-07,2.4733742e-12,1.4298358e-09,8.030872e-15,2.4791136e-15,0.999995,8.338612e-10,2.7777633e-10,6.421425e-09,5.0205254e-06,9.9847665e-11,1.4225375e-08,1.6018702e-10,1.0,5.038992e-16,5.445956e-16,1.3983319e-14,6.9233605e-13,4.5493467e-16,1.6570205e-13,6.8756984e-16,0
